"","current_character","current_dialogue"
"1","                                             MEREDITH","Do do do do do do do do do do do!"
"2","                                             MYSTERIOUS MAN","This way, my river lily."
"3","                                             MEREDITH","Where are you taking me?"
"4","                                             MEREDITH ","Oh. It's beautiful."
"5","                                             MYSTERIOUS MAN","I was afraid it wouldn't take to  the soil, but it rooted quickly."
"6","                              MYSTERIOUS MAN ","Soon it will be everywhere - all across the universe, fulfilling  life's one true purpose."
"7","                                             MEREDITH","Which is what?"
"8","                                                MYSTERIOUS MAN","Expansion."
"9","                                             MEREDITH","I'm not sure what you're talking about. But I like the way you say  it."
"10","                                             MYSTERIOUS MAN","My heart is yours, Meredith Quill."
"11","                                             MEREDITH","I can't believe I fell in love with  a spaceman."
"12","                                             QUILL","Showtime, a-holes! It'll be here  any minute!"
"13","                              GAMORA ","Which will be its loss."
"14","                                             QUILL","Is that a rifle?"
"15","                                             GAMORA","You don't know what a rifle is?"
"16","                                             QUILL","I thought your thing was a sword."
"17","                                             GAMORA","We've been hired to stop an interdimensional beast from feeding on those batteries' energy, and I'm  going to stop it with a sword?"
"18","                                             QUILL","Don't look at me like I'm stupid. You're the one being all  inconsistent."
"19","                                             GAMORA","Drax, why aren't you wearing one of  Rocket's aero-rigs?"
"20","                                                DRAX","It hurts."
"21","                                                GAMORA","Hurts?"
"22","                                             DRAX","I have sensitive nipples."
"23","                                             DRAX ","What about him?! What's he doing?!"
"24","                                             ROCKET","If I finish this, we can listen to  tunes while we work."
"25","                                             DRAX","How is that a priority?"
"26","                                             ROCKET","Blame Quill! He's the one who loves  music so much!"
"27","                                             QUILL","I agree with Drax. It's hardly  important right now."
"28","                                             ROCKET","Oh, sure, okayyyy, Quill."
"29","                                             QUILL","No, I really agree with him."
"30","                                             ROCKET","Sure, I know."
"31","                                             DRAX","I can clearly see you winking."
"32","                                             ROCKET","Damn. I'm using my left eye?"
"33","                                             GROOT","I am Groot."
"34","                                             ROCKET","They were not looking at you funny."
"35","                                             ROCKET ","Well. That's intense."
"36","                                             QUILL","Groot, look - !"
"37","                                             GAMORA","Get out of the way, Groot! You're  going to get hurt!"
"38","                                                GAMORA ","Hi."
"39","                                             ROCKET","Spit it out! Spit it out!"
"40","                                             ROCKET ","Disgusting."
"41","                                             DRAX","The beast's hide is too thick to be pierced from the outside. I must  cut through it from the inside."
"42","                                             GAMORA","Huh?"
"43","                                             GAMORA ","Drax, no! That doesn't make -"
"44","                                             QUILL","What is he doing?!"
"45","                                             GAMORA","He said the skin is too thick to be  pierced from the outside, so he --"
"46","                                             QUILL","That doesn't make sense!"
"47","                                             GAMORA","I tried to tell -- !"
