"","current_character","current_dialogue"
"1","                          FITZGERALD","Likely got a splinter. Can't figure what to do without Mama here  to pull it out for him."
"2","                          BOONE","Need a doc, Captain?"
"3","                          HENRY","Gather more wood."
"4","                          FITZGERALD","Shame my Pap was a broken down drunk. Else he could've bought me  a Captain's job too."
"5","                          FITZGERALD ","We got a plan for these fires, Captain, or are we roastin' berries  all the way up to Fort Union?"
"6","                          HENRY","Glass and the others will be back with some game, Fitzgerald. Just  make sure you have the fires ready."
"7","                          FITZGERALD","My supper's in the hands of a hermit nigger, a kid and a dummy.  Hell, my belly feels full already."
"8","           VOICE ","Shit fire, you got him, Mr. Glass!"
"9","                          PIG ","Square as a barn door."
"10","                          PIG ","Right where you said he'd be."
"11","                          BRIDGER","But bigger than we figured. Gonna  be a load to haul back to camp."
"12","                          PIG","Have to split it up I reckon."
"13","                          GLASS","Yep. Bridger'll take the tail, and  Pig you haul the rest."
"14","                          BRIDGER","Another one close by?"
"15","                          PIG","Hugh?"
"16","                          BOONE","No rule says I'm the only one  that's gotta gather this shit."
"17","                          TRAPPER","`REE!"
"18","                          GLASS","GET TO THE BOAT!"
"19","                          GLASS ","THE BOAT, CAPTAIN!"
"20","                          TRAPPER","WAIT!"
"21","                          BRIDGER","Thank you."
"22","           VOICE ","HEY!"
"23","                          FITZGERALD","What's the plan, Captain?"
"24","                          FITZGERALD ","Captain! What the hell do we do  now?"
"25","                          ANDERSON","We're just floatin' farther from  Fort Union."
"26","                          GLASS","The Missouri's no good. Not if the  `Ree's running it."
"27","                          FITZGERALD","So we just float the hell down to Mexico or wherever else this river  takes us?"
"28","                          GLASS","We get ourselves safe outta range,  then track another course up."
"29","                          FITZGERALD","Add weeks to the trip."
"30","                          BRIDGER","Better that than endin' up scalped  on the side of the river."
"31","                          FITZGERALD","Shut up, kid, you don't get no say  in this."
"32","                          FITZGERALD ","And in case you hadn't noticed, Captain, we're twelve men short of what we were. (off the badly wounded TRAPPER)  Thirteen before long."
